"index","op","name","z","type","value","probability"
4,"Combine","Moat date",,"likelihood",-2609.5,0.01694
4,"Combine","Moat date",,"likelihood",-2604.5,0.014114
4,"Combine","Moat date",,"likelihood",-2599.5,0.013033
4,"Combine","Moat date",,"likelihood",-2594.5,0.012113
4,"Combine","Moat date",,"likelihood",-2589.5,0.010335
4,"Combine","Moat date",,"likelihood",-2584.5,0.010462
4,"Combine","Moat date",,"likelihood",-2579.5,0.016053
4,"Combine","Moat date",,"likelihood",-2574.5,0.01762
4,"Combine","Moat date",,"likelihood",-2569.5,0.004818
4,"Combine","Moat date",,"likelihood",-2564.5,0.0004167
4,"Combine","Moat date",,"likelihood",-2559.5,0.00005794
4,"Combine","Moat date",,"likelihood",-2554.5,0.000020757
4,"Combine","Moat date",,"likelihood",-2549.5,0.000014519
4,"Combine","Moat date",,"likelihood",-2544.5,0.000016316
4,"Combine","Moat date",,"likelihood",-2539.5,0.000025832
4,"Combine","Moat date",,"likelihood",-2534.5,0.00009025
4,"Combine","Moat date",,"likelihood",-2529.5,0.0004291
4,"Combine","Moat date",,"likelihood",-2524.5,0.0012018
4,"Combine","Moat date",,"likelihood",-2519.5,0.0019664
4,"Combine","Moat date",,"likelihood",-2514.5,0.004505
4,"Combine","Moat date",,"likelihood",-2509.5,0.009236
4,"Combine","Moat date",,"likelihood",-2504.5,0.010051
4,"Combine","Moat date",,"likelihood",-2499.5,0.004684
4,"Combine","Moat date",,"likelihood",-2494.5,0.0006479
4,"Combine","Moat date",,"likelihood",-2489.5,0.00004342
4,"Combine","Moat date",,"likelihood",-2484.5,0.000012898
4,"Combine","Moat date",,"likelihood",-2479.5,0.000019664
4,"Combine","Moat date",,"likelihood",-2474.5,0.000018748
4,"Combine","Moat date",,"likelihood",-2469.5,1.762e-7
4,"Combine","Moat date",,"likelihood",-2464.5,0
4,"Combine","Moat date",,"likelihood",-2459.5,0
4,"Combine","Moat date",,"likelihood",-2454.5,0
4,"Combine","Moat date",,"posterior",-2859.5,0
4,"Combine","Moat date",,"posterior",-2854.5,4.125e-7
4,"Combine","Moat date",,"posterior",-2849.5,0.000009763
4,"Combine","Moat date",,"posterior",-2844.5,0.000030886
4,"Combine","Moat date",,"posterior",-2839.5,0.00015285
4,"Combine","Moat date",,"posterior",-2834.5,0.0005244
4,"Combine","Moat date",,"posterior",-2829.5,0.0011069
4,"Combine","Moat date",,"posterior",-2824.5,0.0013719
4,"Combine","Moat date",,"posterior",-2819.5,0.0009057
4,"Combine","Moat date",,"posterior",-2814.5,0.0003163
4,"Combine","Moat date",,"posterior",-2809.5,0.000026022
4,"Combine","Moat date",,"posterior",-2804.5,4.125e-7
4,"Combine","Moat date",,"posterior",-2799.5,0
4,"Combine","Moat date",,"posterior",-2794.5,0
4,"Combine","Moat date",,"posterior",-2789.5,0
4,"Combine","Moat date",,"posterior",-2784.5,0
4,"Combine","Moat date",,"posterior",-2779.5,0
4,"Combine","Moat date",,"posterior",-2774.5,0
4,"Combine","Moat date",,"posterior",-2769.5,0
4,"Combine","Moat date",,"posterior",-2764.5,0
4,"Combine","Moat date",,"posterior",-2759.5,0
4,"Combine","Moat date",,"posterior",-2754.5,0
4,"Combine","Moat date",,"posterior",-2749.5,8.078e-7
4,"Combine","Moat date",,"posterior",-2744.5,0.00000813
4,"Combine","Moat date",,"posterior",-2739.5,0.00005163
4,"Combine","Moat date",,"posterior",-2734.5,0.00007927
4,"Combine","Moat date",,"posterior",-2729.5,0.00003496
4,"Combine","Moat date",,"posterior",-2724.5,0.000006102
4,"Combine","Moat date",,"posterior",-2719.5,0
4,"Combine","Moat date",,"posterior",-2714.5,0
4,"Combine","Moat date",,"posterior",-2709.5,0
4,"Combine","Moat date",,"posterior",-2704.5,0
4,"Combine","Moat date",,"posterior",-2699.5,8.078e-7
4,"Combine","Moat date",,"posterior",-2694.5,0.000013819
4,"Combine","Moat date",,"posterior",-2689.5,0.00003862
4,"Combine","Moat date",,"posterior",-2684.5,0.000031299
4,"Combine","Moat date",,"posterior",-2679.5,0.000019921
4,"Combine","Moat date",,"posterior",-2674.5,0.00003455
4,"Combine","Moat date",,"posterior",-2669.5,0.00016585
4,"Combine","Moat date",,"posterior",-2664.5,0.00065
4,"Combine","Moat date",,"posterior",-2659.5,0.0017711
4,"Combine","Moat date",,"posterior",-2654.5,0.0021443
