"index","op","name","z","type","value","probability"
2,"Boundary","moat start",,"posterior",-2569.5,0.0004756
2,"Boundary","moat start",,"posterior",-2564.5,0.0003984
2,"Boundary","moat start",,"posterior",-2559.5,0.0003699
2,"Boundary","moat start",,"posterior",-2554.5,0.0003817
2,"Boundary","moat start",,"posterior",-2549.5,0.0004362
2,"Boundary","moat start",,"posterior",-2544.5,0.0004508
2,"Boundary","moat start",,"posterior",-2539.5,0.000552
2,"Boundary","moat start",,"posterior",-2534.5,0.0005154
2,"Boundary","moat start",,"posterior",-2529.5,0.0005858
2,"Boundary","moat start",,"posterior",-2524.5,0.0006341
2,"Boundary","moat start",,"posterior",-2519.5,0.0006187
2,"Boundary","moat start",,"posterior",-2514.5,0.0006163
2,"Boundary","moat start",,"posterior",-2509.5,0.0005488
2,"Boundary","moat start",,"posterior",-2504.5,0.00030691
2,"Boundary","moat start",,"posterior",-2499.5,0.00011545
2,"Boundary","moat start",,"posterior",-2494.5,0.000015041
2,"Boundary","moat start",,"posterior",-2489.5,0
2,"Boundary","moat start",,"posterior",-2484.5,4.079e-7
2,"Boundary","moat start",,"posterior",-2479.5,0
4,"Combine","Moat date",,"likelihood",-2874.5,0
4,"Combine","Moat date",,"likelihood",-2869.5,0
4,"Combine","Moat date",,"likelihood",-2864.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2859.5,1.0572e-7
4,"Combine","Moat date",,"likelihood",-2854.5,8.282e-7
4,"Combine","Moat date",,"likelihood",-2849.5,0.000005286
4,"Combine","Moat date",,"likelihood",-2844.5,0.000031012
4,"Combine","Moat date",,"likelihood",-2839.5,0.00015048
4,"Combine","Moat date",,"likelihood",-2834.5,0.0005094
4,"Combine","Moat date",,"likelihood",-2829.5,0.0011365
4,"Combine","Moat date",,"likelihood",-2824.5,0.001524
4,"Combine","Moat date",,"likelihood",-2819.5,0.0010453
4,"Combine","Moat date",,"likelihood",-2814.5,0.00031345
4,"Combine","Moat date",,"likelihood",-2809.5,0.000019541
4,"Combine","Moat date",,"likelihood",-2804.5,3.172e-7
4,"Combine","Moat date",,"likelihood",-2799.5,0
4,"Combine","Moat date",,"likelihood",-2794.5,0
4,"Combine","Moat date",,"likelihood",-2789.5,0
4,"Combine","Moat date",,"likelihood",-2784.5,0
4,"Combine","Moat date",,"likelihood",-2779.5,0
4,"Combine","Moat date",,"likelihood",-2774.5,0
4,"Combine","Moat date",,"likelihood",-2769.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2764.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2759.5,3.524e-8
4,"Combine","Moat date",,"likelihood",-2754.5,8.81e-8
4,"Combine","Moat date",,"likelihood",-2749.5,6.52e-7
4,"Combine","Moat date",,"likelihood",-2744.5,0.000008
4,"Combine","Moat date",,"likelihood",-2739.5,0.00005335
4,"Combine","Moat date",,"likelihood",-2734.5,0.00009557
4,"Combine","Moat date",,"likelihood",-2729.5,0.00003734
4,"Combine","Moat date",,"likelihood",-2724.5,0.000004881
4,"Combine","Moat date",,"likelihood",-2719.5,3.348e-7
4,"Combine","Moat date",,"likelihood",-2714.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2709.5,0
4,"Combine","Moat date",,"likelihood",-2704.5,1.762e-8
4,"Combine","Moat date",,"likelihood",-2699.5,6.872e-7
4,"Combine","Moat date",,"likelihood",-2694.5,0.000014607
4,"Combine","Moat date",,"likelihood",-2689.5,0.00003716
4,"Combine","Moat date",,"likelihood",-2684.5,0.00002421
4,"Combine","Moat date",,"likelihood",-2679.5,0.000016704
4,"Combine","Moat date",,"likelihood",-2674.5,0.000026924
4,"Combine","Moat date",,"likelihood",-2669.5,0.00012981
4,"Combine","Moat date",,"likelihood",-2664.5,0.0006374
4,"Combine","Moat date",,"likelihood",-2659.5,0.0019025
4,"Combine","Moat date",,"likelihood",-2654.5,0.0022864
4,"Combine","Moat date",,"likelihood",-2649.5,0.001298
4,"Combine","Moat date",,"likelihood",-2644.5,0.0006111
4,"Combine","Moat date",,"likelihood",-2639.5,0.0003799
4,"Combine","Moat date",,"likelihood",-2634.5,0.0005902
4,"Combine","Moat date",,"likelihood",-2629.5,0.0015823
4,"Combine","Moat date",,"likelihood",-2624.5,0.005568
4,"Combine","Moat date",,"likelihood",-2619.5,0.013523
4,"Combine","Moat date",,"likelihood",-2614.5,0.017488
4,"Combine","Moat date",,"likelihood",-2609.5,0.01694
4,"Combine","Moat date",,"likelihood",-2604.5,0.014114
4,"Combine","Moat date",,"likelihood",-2599.5,0.013033
4,"Combine","Moat date",,"likelihood",-2594.5,0.012113
4,"Combine","Moat date",,"likelihood",-2589.5,0.010335
4,"Combine","Moat date",,"likelihood",-2584.5,0.010462
4,"Combine","Moat date",,"likelihood",-2579.5,0.016053
4,"Combine","Moat date",,"likelihood",-2574.5,0.01762
4,"Combine","Moat date",,"likelihood",-2569.5,0.004818
4,"Combine","Moat date",,"likelihood",-2564.5,0.0004167
4,"Combine","Moat date",,"likelihood",-2559.5,0.00005794
4,"Combine","Moat date",,"likelihood",-2554.5,0.000020757
4,"Combine","Moat date",,"likelihood",-2549.5,0.000014519
4,"Combine","Moat date",,"likelihood",-2544.5,0.000016316
4,"Combine","Moat date",,"likelihood",-2539.5,0.000025832
4,"Combine","Moat date",,"likelihood",-2534.5,0.00009025
4,"Combine","Moat date",,"likelihood",-2529.5,0.0004291
4,"Combine","Moat date",,"likelihood",-2524.5,0.0012018
4,"Combine","Moat date",,"likelihood",-2519.5,0.0019664
4,"Combine","Moat date",,"likelihood",-2514.5,0.004505
4,"Combine","Moat date",,"likelihood",-2509.5,0.009236
4,"Combine","Moat date",,"likelihood",-2504.5,0.010051
4,"Combine","Moat date",,"likelihood",-2499.5,0.004684
4,"Combine","Moat date",,"likelihood",-2494.5,0.0006479
4,"Combine","Moat date",,"likelihood",-2489.5,0.00004342
4,"Combine","Moat date",,"likelihood",-2484.5,0.000012898
4,"Combine","Moat date",,"likelihood",-2479.5,0.000019664
4,"Combine","Moat date",,"likelihood",-2474.5,0.000018748
4,"Combine","Moat date",,"likelihood",-2469.5,1.762e-7
4,"Combine","Moat date",,"likelihood",-2464.5,0
4,"Combine","Moat date",,"likelihood",-2459.5,0
4,"Combine","Moat date",,"likelihood",-2454.5,0
4,"Combine","Moat date",,"posterior",-2864.5,0
4,"Combine","Moat date",,"posterior",-2859.5,4.119e-7
4,"Combine","Moat date",,"posterior",-2854.5,8.066e-7
4,"Combine","Moat date",,"posterior",-2849.5,0.000004067
4,"Combine","Moat date",,"posterior",-2844.5,0.000028453
4,"Combine","Moat date",,"posterior",-2839.5,0.00015651
4,"Combine","Moat date",,"posterior",-2834.5,0.0005345
4,"Combine","Moat date",,"posterior",-2829.5,0.0010858
4,"Combine","Moat date",,"posterior",-2824.5,0.0013829
4,"Combine","Moat date",,"posterior",-2819.5,0.001026
4,"Combine","Moat date",,"posterior",-2814.5,0.0003642
4,"Combine","Moat date",,"posterior",-2809.5,0.000028865
4,"Combine","Moat date",,"posterior",-2804.5,0
4,"Combine","Moat date",,"posterior",-2799.5,0
4,"Combine","Moat date",,"posterior",-2794.5,0
4,"Combine","Moat date",,"posterior",-2789.5,0
4,"Combine","Moat date",,"posterior",-2784.5,0
4,"Combine","Moat date",,"posterior",-2779.5,0
4,"Combine","Moat date",,"posterior",-2774.5,0
4,"Combine","Moat date",,"posterior",-2769.5,0
4,"Combine","Moat date",,"posterior",-2764.5,0
4,"Combine","Moat date",,"posterior",-2759.5,0
4,"Combine","Moat date",,"posterior",-2754.5,0
4,"Combine","Moat date",,"posterior",-2749.5,8.066e-7
4,"Combine","Moat date",,"posterior",-2744.5,0.000010571
4,"Combine","Moat date",,"posterior",-2739.5,0.00004146
4,"Combine","Moat date",,"posterior",-2734.5,0.00008253
4,"Combine","Moat date",,"posterior",-2729.5,0.00003983
4,"Combine","Moat date",,"posterior",-2724.5,0.000007311
4,"Combine","Moat date",,"posterior",-2719.5,0
4,"Combine","Moat date",,"posterior",-2714.5,0
4,"Combine","Moat date",,"posterior",-2709.5,0
4,"Combine","Moat date",,"posterior",-2704.5,0
4,"Combine","Moat date",,"posterior",-2699.5,0.0000016303
4,"Combine","Moat date",,"posterior",-2694.5,0.000016663
4,"Combine","Moat date",,"posterior",-2689.5,0.000037
4,"Combine","Moat date",,"posterior",-2684.5,0.000027646
4,"Combine","Moat date",,"posterior",-2679.5,0.000015445
4,"Combine","Moat date",,"posterior",-2674.5,0.00003455
4,"Combine","Moat date",,"posterior",-2669.5,0.0001504
4,"Combine","Moat date",,"posterior",-2664.5,0.0006797
4,"Combine","Moat date",,"posterior",-2659.5,0.0017744
4,"Combine","Moat date",,"posterior",-2654.5,0.0021935
4,"Combine","Moat date",,"posterior",-2649.5,0.0013447
4,"Combine","Moat date",,"posterior",-2644.5,0.0006756
4,"Combine","Moat date",,"posterior",-2639.5,0.0004297
4,"Combine","Moat date",,"posterior",-2634.5,0.0006549
4,"Combine","Moat date",,"posterior",-2629.5,0.0018492
4,"Combine","Moat date",,"posterior",-2624.5,0.00595
4,"Combine","Moat date",,"posterior",-2619.5,0.013063
4,"Combine","Moat date",,"posterior",-2614.5,0.017161
4,"Combine","Moat date",,"posterior",-2609.5,0.016614
4,"Combine","Moat date",,"posterior",-2604.5,0.014582
4,"Combine","Moat date",,"posterior",-2599.5,0.013355
4,"Combine","Moat date",,"posterior",-2594.5,0.012143
4,"Combine","Moat date",,"posterior",-2589.5,0.010778
4,"Combine","Moat date",,"posterior",-2584.5,0.011361
4,"Combine","Moat date",,"posterior",-2579.5,0.016622
4,"Combine","Moat date",,"posterior",-2574.5,0.016565
4,"Combine","Moat date",,"posterior",-2569.5,0.005419
4,"Combine","Moat date",,"posterior",-2564.5,0.0006219
4,"Combine","Moat date",,"posterior",-2559.5,0.0000809
4,"Combine","Moat date",,"posterior",-2554.5,0.000023579
4,"Combine","Moat date",,"posterior",-2549.5,0.000016269
4,"Combine","Moat date",,"posterior",-2544.5,0.000015445
4,"Combine","Moat date",,"posterior",-2539.5,0.000023579
4,"Combine","Moat date",,"posterior",-2534.5,0.00009837
4,"Combine","Moat date",,"posterior",-2529.5,0.0004224
4,"Combine","Moat date",,"posterior",-2524.5,0.0011329
4,"Combine","Moat date",,"posterior",-2519.5,0.0021191
4,"Combine","Moat date",,"posterior",-2514.5,0.004512
4,"Combine","Moat date",,"posterior",-2509.5,0.008455
4,"Combine","Moat date",,"posterior",-2504.5,0.009
4,"Combine","Moat date",,"posterior",-2499.5,0.004285
4,"Combine","Moat date",,"posterior",-2494.5,0.0007862
4,"Combine","Moat date",,"posterior",-2489.5,0.00006219
